song_name,artist_name,date_posted,tag,album_art,song_data_url,background_light,background_dark,song_duration
Carry On Wayward Son,Jai Wolf,01/07/2015,# Electronic,https://i1.sndcdn.com/artworks-000119695222-hl7mpp-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+Carry+On+Wayward+Son.m4a,"(190, 113, 65)","(84, 76, 44)",321
Inside Out (feat. Charlee),Flume,06/04/2014,# Electronic,https://i1.sndcdn.com/artworks-000033889644-9zy617-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+Inside+Out+(feat.+Charlee).m4a,"(199, 80, 71)","(55, 61, 70)",233
Kings of Summer (feat. Quinn XCII) [Single Version],DROELOE,12/12/2001,# Electronic,https://i1.sndcdn.com/artworks-000228761930-uw4sqw-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+Kings+of+Summer+(feat.+Quinn+XCII)+%5BSingle+Version%5D.m4a,"(188, 156, 76)","(76, 38, 68)",207
No Sleep,What So Not,01/07/2015,# Electronic,https://i1.sndcdn.com/artworks-aiJUpeH32Djv-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+No+Sleep.m4a,"(216, 172, 80)","(75, 53, 63)",191
Roses (feat. ROZES),ARTY,06/04/2014,# Electronic,https://i1.sndcdn.com/artworks-Cv5lIThv8Am6-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+Roses+(feat.+ROZES).m4a,"(234.5, 132.5, 20.5)","(76, 44, 42)",226
Something Better (feat. Lady Antebellum),RL Grime,08/09/2017,# Electronic,https://i1.sndcdn.com/artworks-000317419401-cfa86f-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+Something+Better+(feat.+Lady+Antebellum).m4a,"(229, 40, 49)","(136, 16, 22)",212
The Fighting Song,Elohim,01/22/2018,# Electronic,https://i1.sndcdn.com/artworks-a9y5hXsgwU2e-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+The+Fighting+Song.m4a,"(38.5, 85, 216.5)","(70, 72, 72)",228
The Little Things (feat. Angela McCluskey),Metallica,11/11/2019,# Rock,https://i1.sndcdn.com/artworks-000164457695-plu703-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+The+Little+Things+(feat.+Angela+McCluskey).m4a,"(161, 71, 58)","(77, 71, 72)",286
Sleepless (feat. Jezzabell Doran),Iron Maiden,09/25/2017,# Rock,https://i1.sndcdn.com/artworks-pfOQC8My9OCo-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/1-04+Sleepless+(feat.+Jezzabell+Doran).m4a,"(74, 63, 192)","(44, 40, 76)",209
Crazy Train,Priestess,08/12/2010,# Rock,https://i1.sndcdn.com/artworks-0ME6xLQO3Bjb-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/02+Crazy+Train.m4a,"(205, 125, 91)","(106, 46, 46)",290
Touchdown (Island Love Version),Van Halen,01/07/2015,# Rock,https://i1.sndcdn.com/artworks-de7lguzgx3oE-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/02+Touchdown+(Island+Love+Version).m4a,"(196, 36, 228)","(53, 37, 85)",182
Don t Worry,Megadeth,06/04/2014,# Rock,https://i1.sndcdn.com/artworks-dtXaGCGTH2GM-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/04+Don_t+Worry.m4a,"(178.5, 76.5, 76.5)","(68, 68, 69)",203
Lay My Claim,Pink Floyd,12/12/2017,# Rock,https://i1.sndcdn.com/artworks-dTUBUGMflT5w-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/04+Lay+My+Claim.m4a,"(180, 116, 84)","(109, 75, 61)",242
Runaway Train,Motorhead,01/22/2018,# Rock,https://i1.sndcdn.com/artworks-000041152793-g4nqks-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/04+Runaway+Train.m4a,"(172, 52, 100)","(68, 68, 68)",245
Back Then,Def Leppard,11/11/2019,# Rock,https://i1.sndcdn.com/artworks-N2PvuC3eQnZV-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/05+Back+Then.m4a,"(207, 124, 156)","(68, 68, 68)",252
Fade Away,Black Sabbath,12/12/2001,# Rock,https://i1.sndcdn.com/artworks-ead2c3d1-6bc3-435b-8893-f9dfec4948f9-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/05+Fade+Away.m4a,"(204, 137, 100)","(42, 60, 84)",209
Pay No Mind (feat. Passion Pit),Led Zeppelin,01/01/2019,# Rock,https://i1.sndcdn.com/artworks-phOVVZaAWZjN-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/05+Pay+No+Mind+(feat.+Passion+Pit).m4a,"(127.5, 127.5, 127.5)","(99, 53, 49)",249
Pretty Lady,Arizona,01/07/2015,# Alternative,https://i1.sndcdn.com/artworks-000406962459-1rdszx-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/05+Pretty+Lady.m4a,"(241, 44, 36)","(92, 65, 41)",220
Notice Me,Kings of Leon,09/25/2017,# Alternative,https://i1.sndcdn.com/artworks-jZ4MhgzsCeD2-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/07+Notice+Me.m4a,"(210, 150, 27)","(63, 68, 71)",203
The Buzz (feat. Mataya Young Tapz),Muse,12/12/2017,# Alternative,https://i1.sndcdn.com/artworks-X9ECgJjtm2D8-0-t500x500.jpg,https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/07+The+Buzz+(feat.+Mataya+_+Young+Tapz).m4a,"(180, 73, 36)","(52, 52, 52)",221
