song_name|artist_id|upload_time|tag|album_art|song_data_url|background_light|background_dark|waveform_data|song_duration
"Inside Out (feat. Charlee)"|4019|"06/04/2014"|"# Electronic"|"https://i1.sndcdn.com/artworks-000033889644-9zy617-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+Inside+Out+(feat.+Charlee).m4a"|"(199, 80, 71)"|"(55, 61, 70)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-2.json"|233
"Kings of Summer (feat. Quinn XCII) [Single Version]"|5883|"12/12/2001"|"# Electronic"|"https://i1.sndcdn.com/artworks-000228761930-uw4sqw-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+Kings+of+Summer+(feat.+Quinn+XCII)+%5BSingle+Version%5D.m4a"|"(188, 156, 76)"|"(76, 38, 68)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-3.json"|207
"No Sleep"|4536|"01/07/2015"|"# Electronic"|"https://i1.sndcdn.com/artworks-aiJUpeH32Djv-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+No+Sleep.m4a"|"(216, 172, 80)"|"(75, 53, 63)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-4.json"|191
"Roses (feat. ROZES)"|4175|"06/04/2014"|"# Electronic"|"https://i1.sndcdn.com/artworks-Cv5lIThv8Am6-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+Roses+(feat.+ROZES).m4a"|"(234.5, 132.5, 20.5)"|"(76, 44, 42)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-5.json"|226
"Something Better (feat. Lady Antebellum)"|4691|"08/09/2017"|"# Electronic"|"https://i1.sndcdn.com/artworks-000317419401-cfa86f-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+Something+Better+(feat.+Lady+Antebellum).m4a"|"(229, 40, 49)"|"(136, 16, 22)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-6.json"|212
"The Fighting Song"|7417|"01/22/2018"|"# Electronic"|"https://i1.sndcdn.com/artworks-a9y5hXsgwU2e-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+The+Fighting+Song.m4a"|"(38.5, 85, 216.5)"|"(70, 72, 72)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-7.json"|228
"The Little Things (feat. Angela McCluskey)"|4224|"11/11/2019"|"# Rock"|"https://i1.sndcdn.com/artworks-000164457695-plu703-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/01+The+Little+Things+(feat.+Angela+McCluskey).m4a"|"(161, 71, 58)"|"(77, 71, 72)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-8.json"|286
"Sleepless (feat. Jezzabell Doran)"|5317|"09/25/2017"|"# Rock"|"https://i1.sndcdn.com/artworks-pfOQC8My9OCo-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/1-04+Sleepless+(feat.+Jezzabell+Doran).m4a"|"(74, 63, 192)"|"(44, 40, 76)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-9.json"|209
"Crazy Train"|4467|"08/12/2010"|"# Rock"|"https://i1.sndcdn.com/artworks-0ME6xLQO3Bjb-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/02+Crazy+Train.m4a"|"(205, 125, 91)"|"(106, 46, 46)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-10.json"|290
"Touchdown (Island Love Version)"|4874|"01/07/2015"|"# Rock"|"https://i1.sndcdn.com/artworks-de7lguzgx3oE-0-t500x500.jpg"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/02+Touchdown+(Island+Love+Version).m4a"|"(196, 36, 228)"|"(53, 37, 85)"|"https://3-musicdb-song-display.s3-us-west-2.amazonaws.com/waveform-11.json"|182
